Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Nome,Height_in_inches,Wins,Losses,Draws
225.0,,Orthodox,"May 25, 1977",0.77,0.23,1.2,0.59,0.0,0.0,0.72,0.0,Dos Caras Jr.,76.0,9,5,0.0
155.0,74.0,Orthodox,"Apr 26, 1995",5.71,0.41,4.47,0.5,4.17,0.55,0.81,0.2,Mason Jones,70.0,17,2,
135.0,69.0,Orthodox,"May 15, 1997",1.49,0.53,4.56,0.38,1.94,0.16,0.66,1.0,Toshiomi Kazama,67.0,11,5,0.0
145.0,71.0,Orthodox,"Dec 26, 2001",3.78,0.4,3.92,0.47,0.0,0.0,0.0,0.0,EoJin Park,72.0,9,2,1.0
125.0,67.0,Orthodox,"Apr 16, 1990",4.36,0.5,3.88,0.49,2.8,0.47,0.69,1.0,Alexandre Pantoja,65.0,30,5,0.0
125.0,63.0,Orthodox,"Mar 15, 1986",1.27,0.32,1.27,0.6,2.0,1.0,0.0,0.0,Shang Zhifa,67.0,32,8,0.0
205.0,72.0,Orthodox,"Nov 15, 1991",2.55,0.46,5.01,0.53,0.45,0.2,0.61,0.0,Ivan Erslan,74.0,14,6,
235.0,76.0,Orthodox,"Sep 02, 1981",2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,Shamil Abdurakhimov,75.0,20,8,0.0
205.0,,Southpaw,"Sep 22, 1973",1.4,0.42,3.72,0.27,13.95,0.5,0.0,7.0,James Lee,71.0,15,3,
135.0,,,"Jul 29, 1986",1.87,0.19,3.8,0.66,0.0,0.0,0.0,0.0,Joe Neal,66.0,6,2,0.0
155.0,69.0,Southpaw,"May 16, 1994",5.55,0.5,5.89,0.5,1.29,0.55,0.75,0.3,Nazim Sadykhov,70.0,11,1,1.0
139.0,,Orthodox,"Mar 03, 1978",1.33,0.21,3.0,0.6,0.0,0.0,0.0,0.0,Jong Man Kim,67.0,23,11,
